song identifier, likelihood_art, likelihood_pop, likelihood_tradition, likely_type, was_art, was_pop, was_tradition, was_type
cache/2015.Interpol.Spotify Sessions.On "My Desire" and "All The Rage Back Home".wav,0.08387654274702072,0.8079714775085449,0.10815199464559555,1,1,0,0,1
cache/2016.Ruth Koleva.R U T H.Sista Said No.wav,0.08083498477935791,0.8474293947219849,0.07173561304807663,1,1,0,0,1
cache/2016.Liss.NOON  185.Sorry.wav,0.054721422493457794,0.924701452255249,0.020577123388648033,1,1,0,0,1
cache/2003.Death Cab For Cutie.Transatlanticism.Transatlanticism.wav,0.08148147165775299,0.8347223997116089,0.08379614353179932,1,1,0,0,1
cache/2009.Breaking Benjamin.Dear Agony.Lights Out.wav,0.12369034439325333,0.7739593386650085,0.10235030949115753,1,1,0,0,1
cache/2016.BANNERS.Teen Wolf Season 5.Ghosts.wav,0.24687319993972778,0.6719537377357483,0.08117306977510452,1,1,0,0,1
cache/2016.Mogwai.Atomic.Ether.wav,0.13851335644721985,0.7909602522850037,0.0705263614654541,1,1,0,0,1
cache/2001.Josh Ritter.Golden Age of Radio.Come and Find Me.wav,0.12533250451087952,0.7542145848274231,0.12045294046401978,1,1,0,0,1
cache/2015.Hinkstep.My Forest Queen.Serotonin Storm.wav,0.06378010660409927,0.9198238253593445,0.016396066173911095,1,1,0,0,0
cache/2003.Coldplay.Live 2003.Everything's Not Lost.wav,0.02628469094634056,0.9521437287330627,0.021571561694145203,1,1,0,0,1
cache/2016.Ruth Koleva.R U T H.Better.wav,0.05928744748234749,0.9083373546600342,0.03237522393465042,1,1,0,0,1
cache/2015.Vitamin String Quartet.VSQ Performs the Hits of 2014 Vol. 3.Rather Be (String Quartet Tribute to Clean Bandit).wav,0.09755014628171921,0.8013248443603516,0.10112501680850983,1,1,0,0,1
cache/2001.Enrique Iglesias.Escape.Don't Turn Off the Lights.wav,0.06925686448812485,0.869511604309082,0.061231523752212524,1,1,0,0,2
cache/2015.Owl City.Unbelievable.Unbelievable.wav,0.07735814899206161,0.8276495337486267,0.09499230235815048,1,1,0,0,1
cache/2016.Miike Snow.iii.Heart Is Full.wav,0.11213686317205429,0.7896516919136047,0.09821145981550217,1,1,0,0,1
cache/2014.Banda do Mar.Banda do Mar.Faz Tempo.wav,0.10081256181001663,0.8535374999046326,0.045649949461221695,1,1,0,0,1
cache/2016.Oyster Kids.NOON  160.Creepy.wav,0.11350599676370621,0.8233065605163574,0.06318745762109756,1,1,0,0,1
cache/2004.Jay-ZLinkin Park.Collision Course.IzzoIn the End.wav,0.1046779677271843,0.8186458349227905,0.07667620480060577,1,1,0,0,1
