song identifier	 likelihood_art	 likelihood_pop	 likelihood_tradition	 likely_type	 was_art	 was_pop	 was_tradition	 was_type	
cache/2014.Mogwai.Music Industry 3. Fitness Industry 1 [EP].HMP Shaun William Ryder.wav	0.129824907	0.785631061	0.08454404	1	0	1	0	1	
cache/2015.Of Monsters And Men.Beneath The Skin.We Sink [explicit].wav	0.035346512	0.926721036	0.037932452	1	0	1	0	1	
cache/2016.Explosions in the Sky.Friday Night Lights [Original Movie Soundtrack].Your Hand In Mine.wav	0.071014725	0.842598438	0.086386845	1	0	1	0	1	
cache/2016.Daniel Kim.Pop Danthology.2012.wav	0.037741341	0.934375823	0.027882822	1	0	1	0	1	
cache/2014.Casa Murilo.Ignition.Lina.wav	0.153536707	0.807650983	0.038812283	1	0	1	0	1	
cache/2014.We Were Promised Jetpacks.Unravelling.Safety In Numbers.wav	0.018338166	0.975126266	0.00653554	1	0	1	0	1	
cache/1999.Kim Carnes.Best of Kim Carnes.Crazy in the Night (Barking at Airplanes).wav	0.075320102	0.835514247	0.089165658	1	0	1	0	1	
cache/1999.Enrique Iglesias.Enrique Disc 1.Mas Es Amar.wav	0.123563349	0.774806201	0.101630427	1	0	1	0	2	
cache/2014.Bucketheadland.Snow Slug.G 81.wav	0.072279736	0.824095786	0.1036245	1	0	1	0	0	
cache/2014.Little Boots.Business Pleasure - EP.Pretty Tough.wav	0.04242751	0.859118223	0.098454252	1	0	1	0	1	
cache/2014.Tarwater.Adrift.Coconut Signal.wav	0.201699644	0.726682603	0.071617752	1	0	1	0	1	
cache/2016.Anya Marina.Paper Plane.Snowflake.wav	0.105184548	0.797645688	0.097169794	1	0	1	0	2	
cache/2006.Snow Patrol.Eyes Open.The Finish Line.wav	0.134615764	0.758476496	0.106907763	1	0	1	0	1	
cache/2015.MOGWAI.Central Belters.Friend of the Night.wav	0.106474563	0.835087538	0.058437914	1	0	1	0	1	
cache/2006.Breaking Benjamin.Phobia.You.wav	0.156963244	0.718208551	0.124828197	1	0	1	0	1	
"cache/2014.Bastille.Vs. (Other People's Heartache,Pt. III).Bad_News (Bastille Vs. Mnek) (Crossfaded Version) - Mnek.wav"	0.26996392	0.517234921	0.212801158	1	0	1	0	1	
cache/2015.Will Young.85% Proof (Deluxe Edition).Promise Me.wav	0.040389478	0.932085216	0.027525308	1	0	1	0	1	
cache/2006.John Mayer.Continuum.Gravity.wav	0.204385936	0.725322723	0.070291333	1	0	1	0	1	
"cache/2015.Florence + The Machine.How Big, How Blue, How Beautiful (Limited Deluxe Edition).Make Up Your Mind.wav"	0.223818511	0.60339725	0.172784254	1	0	1	0	1	
"cache/2014.Joseph Haydn.MUSC233 Exam 3.String Quartet in E-flat Major, Op. 33, No. 2 (The Joke), Hob. III:38: Second movement, Scherzo: Allegro.wav"	0.114652462	0.813706577	0.071640931	1	0	1	0	0	
cache/2014.Totorro.Home Alone.Motte-Rock.wav	0.027232615	0.928036153	0.044731241	1	0	1	0	1	
"cache/2015.Interpol.Spotify Sessions.On ""My Desire"" and ""All The Rage Back Home"".wav"	0.135319099	0.733516693	0.131164193	1	0	1	0	1	
cache/2007.Enrique Iglesias.Insomniac.Tired Of Being Sorry.wav	0.054549009	0.913364768	0.032086231	1	0	1	0	2	
cache/2015.Vitamin String Quartet.The Geek Wedding Collection.Birdhouse In Your Soul.wav	0.026810704	0.942967117	0.030222163	1	0	1	0	1	
cache/2009.Super Mash Bros..All About The Scrilions.Jaein Off On My Day Off.wav	0.084497407	0.868509889	0.046992682	1	0	1	0	1	
cache/2004.Carbon Leaf.Indian Summer.Raise the Roof.wav	0.039703269	0.935429156	0.024867604	1	0	1	0	1	
cache/2014.Palace.Lost In The Night (EP).Veins.wav	0.024469048	0.922913432	0.052617546	1	0	1	0	1	
cache/2015.Derrival.Departure & Arrival.The Knife.wav	0.078342862	0.884854496	0.036802631	1	0	1	0	1	
cache/2015.Fall Out Boy.American BeautyAmerican Psycho.Immortals.wav	0.061566707	0.876480043	0.061953258	1	0	1	0	1	
cache/2001.Daft Punk.Discovery.High Life.wav	0.09541481	0.861523747	0.043061424	1	0	1	0	1	
cache/2015.Green River Ordinance.Chasing Down The Wind.Flying.wav	0.06096971	0.898147523	0.040882781	1	0	1	0	2	
"cache/2015.Pentatonix.That's Christmas to Me: Deluxe Tracks - EP.Mary, Did You Know? (feat. The String Mob).wav"	0.084501818	0.806725383	0.108772777	1	0	1	0	2	
cache/2005.Panic! at the Disco.A Fever You Can't Sweat Out.I Write Sins Not Tragedies.wav	0.029697817	0.907662511	0.062639698	1	0	1	0	1	
cache/2015.Wild Child.Past & Present.Fools.wav	0.034824289	0.943750441	0.02142527	1	0	1	0	1	
cache/2015.The Best Pessimist.The Half-World.Hearts.wav	0.084428847	0.728078127	0.187493011	1	0	1	0	0	
cache/2014.Foo Fighters.Sonic Highways.Subterranean.wav	0.100303307	0.84178704	0.057909679	1	0	1	0	1	
cache/2006.Snow Patrol.Eyes Open.Make This Go On Forever.wav	0.178053394	0.635691583	0.186255038	1	0	1	0	1	
cache/2013.Kodaline.In A Perfect World.All Comes Down.wav	0.059934672	0.902957678	0.037107673	1	0	1	0	1	
cache/2014.The Neighbourhood.#000000 & #Ffffff.TRL.wav	0.129282892	0.820741832	0.049975246	1	0	1	0	1	
cache/2015.Mumford & Sons.Wilder Mind (Deluxe Version).Only Love.wav	0.043684296	0.933382332	0.02293336	1	0	1	0	1	
cache/2014.OK Go.Hungry Ghosts.Obsession.wav	0.083712108	0.70672375	0.20956412	1	0	1	0	1	
"cache/2016.M83.Junk.Do It, Try It.wav"	0.140456632	0.707817197	0.151726171	1	0	1	0	1	
cache/2010.Daft Punk.Tron: Legacy (Amazon MP3 Exclusive Version).Rectifier.wav	0.113821745	0.836733937	0.049444318	1	0	1	0	0	
cache/2015.Angus & Julia Stone.Spotify Sessions.Stay With Me.wav	0.065283604	0.858700395	0.076015972	1	0	1	0	1	
cache/2013.OK Go.Twelve Months of OK Go.The Office Song (2004 demo).wav	0.066076554	0.914844036	0.019079383	1	0	1	0	1	
cache/2010.Tyler Stenson.Bittersweet Parade.Push That River.wav	0.141400412	0.779857635	0.078741945	1	0	1	0	2	
